filename,time(ms),time(ms)
log-abs-cb2-c-a-gcd1.log,325640,325640
log-abs-cb2-c-a-gcd2.log,1013140,1013140
log-abs-cb2-c-a-gcd3.log,1974464,1974464
log-abs-cb2-c-i-gcd1.log,105620,105620
log-abs-cb2-c-i-gcd2.log,270632,270632
log-abs-cb2-c-i-gcd3.log,566148,566148
log-abs-cb2-c-n-gcd1.log,341616,341616
log-abs-cb2-c-n-gcd2.log,1045364,1045364
log-abs-cb2-c-n-gcd3.log,2073160,2073160
log-abs-cb2-c-p-gcd1.log,93636,93636
log-abs-cb2-c-p-gcd2.log,250672,250672
log-abs-cb2-c-p-gcd3.log,507276,507276
log-abs-cb2-s-a-gcd1.log,68816,68816
log-abs-cb2-s-a-gcd2.log,212552,212552
log-abs-cb2-s-a-gcd3.log,436192,436192
log-abs-cb2-s-i-gcd1.log,99936,99936
log-abs-cb2-s-i-gcd2.log,357696,357696
log-abs-cb2-s-i-gcd3.log,807276,807276
log-abs-cb2-s-n-gcd1.log,133808,133808
log-abs-cb2-s-n-gcd2.log,484432,484432
log-abs-cb2-s-n-gcd3.log,1109632,1109632
log-abs-cb2-s-p-gcd1.log,54196,54196
log-abs-cb2-s-p-gcd2.log,162772,162772
log-abs-cb2-s-p-gcd3.log,329680,329680
log-abs-r-c-a-gcd1.log,2016,2016
log-abs-r-c-a-gcd2.log,6768,6768
log-abs-r-c-a-gcd3.log,11972,11972
log-abs-r-c-i-gcd1.log,1220,1220
log-abs-r-c-i-gcd2.log,3372,3372
log-abs-r-c-i-gcd3.log,6832,6832
log-abs-r-c-n-gcd1.log,3124,3124
log-abs-r-c-n-gcd2.log,10540,10540
log-abs-r-c-n-gcd3.log,21296,21296
log-abs-r-c-p-gcd1.log,684,684
log-abs-r-c-p-gcd2.log,1740,1740
log-abs-r-c-p-gcd3.log,3220,3220
log-abs-r-s-a-gcd1.log,808,808
log-abs-r-s-a-gcd2.log,1228,1228
log-abs-r-s-a-gcd3.log,2060,2060
log-abs-r-s-i-gcd1.log,1224,1224
log-abs-r-s-i-gcd2.log,3388,3388
log-abs-r-s-i-gcd3.log,6984,6984
log-abs-r-s-n-gcd1.log,1540,1540
log-abs-r-s-n-gcd2.log,4520,4520
log-abs-r-s-n-gcd3.log,9488,9488
log-abs-r-s-p-gcd1.log,680,680
log-abs-r-s-p-gcd2.log,996,996
log-abs-r-s-p-gcd3.log,1640,1640
log-abs-t1-c-a-gcd1.log,-,-
log-abs-t1-c-a-gcd2.log,-,-
log-abs-t1-c-a-gcd3.log,-,-
log-abs-t1-c-i-gcd1.log,3118364,3118364
log-abs-t1-c-i-gcd2.log,-,-
log-abs-t1-c-i-gcd3.log,-,-
log-abs-t1-c-n-gcd1.log,-,-
log-abs-t1-c-n-gcd2.log,-,-
log-abs-t1-c-n-gcd3.log,-,-
log-abs-t1-c-p-gcd1.log,922532,922532
log-abs-t1-c-p-gcd2.log,-,-
log-abs-t1-c-p-gcd3.log,-,-
log-abs-t1-s-a-gcd1.log,735024,735024
log-abs-t1-s-a-gcd2.log,-,-
log-abs-t1-s-a-gcd3.log,-,-
log-abs-t1-s-i-gcd1.log,665092,665092
log-abs-t1-s-i-gcd2.log,-,-
log-abs-t1-s-i-gcd3.log,-,-
log-abs-t1-s-n-gcd1.log,1896080,1896080
log-abs-t1-s-n-gcd2.log,-,-
log-abs-t1-s-n-gcd3.log,-,-
log-abs-t1-s-p-gcd1.log,273352,273352
log-abs-t1-s-p-gcd2.log,1639428,1639428
log-abs-t1-s-p-gcd3.log,-,-
log-abs-t2-c-a-gcd1.log,923652,923652
log-abs-t2-c-a-gcd2.log,-,-
log-abs-t2-c-a-gcd3.log,-,-
log-abs-t2-c-i-gcd1.log,304204,304204
log-abs-t2-c-i-gcd2.log,2021580,2021580
log-abs-t2-c-i-gcd3.log,-,-
log-abs-t2-c-n-gcd1.log,1947760,1947760
log-abs-t2-c-n-gcd2.log,-,-
log-abs-t2-c-n-gcd3.log,-,-
log-abs-t2-c-p-gcd1.log,126920,126920
log-abs-t2-c-p-gcd2.log,550164,550164
log-abs-t2-c-p-gcd3.log,-,-
log-abs-t2-s-a-gcd1.log,140992,140992
log-abs-t2-s-a-gcd2.log,1005060,1005060
log-abs-t2-s-a-gcd3.log,-,-
log-abs-t2-s-i-gcd1.log,114888,114888
log-abs-t2-s-i-gcd2.log,613628,613628
log-abs-t2-s-i-gcd3.log,-,-
